Activated Nodes: 
Gata.a
Zic-r.a
Inhibited Nodes
==================================
Node    log stead state value
Sox1/2/3: 0.0
Sfrp1/5: -2.0690318555108698E-4
Gsx: -0.0036465327644384974
Zf266: 0.0014840268543548486
Hes.b: 0.04650801007727426
Id: -0.006823328779112817
Meis: -1.4953417339791172E-4
Mrf: 0.0042052115555704555
Neurog: 0.0016201074103500681
Pax6: 8.882027488031187E-4
Dlx.b: -1.861105493285937E-5
Emx: 1.4422186635412927E-4
Epi1: 0.059449119859759536
Epib: 0.06153908425661122
Foxc: 0.0015586493008362822
Foxh.a: -2.9426661623173854E-6
Gata.b: -1.211545589750603E-4
Sox4/11/12: 0.0
Myt1: 4.162051255481231E-4
Six3/6: 0.0032598523459583645
Prdm1-r.a: -2.1737094008978484E-5
Dmrt.a: -4.5622354665461097E-4
Prdm1-r.b: -2.1737094008978484E-5
Erk_signalling: -0.011067782441533091
Wnt5: 0.03477051123139015
BHLHA15: 0.0033216883581888884
Gata.a: 0.5
Cers.e: 0.0033216883581888884
Chd: 0.001345399408432975
Dusp1/2/4/5: -7.896044330315344E-4
Gdf1/3-r: 0.0
Efna.c: -9.097661125520275E-4
Tp53.a: 0.0
Elk: -9.097661125520275E-4
Hes.a: 0.0
Tp53.b: 0.0
Lefty: 0.03602279211867147
Fli/Erg.a: 0.0033216883581888884
Fos: 0.00424773407074751
Lmx1: 0.002304162242087195
Acta1: 9.403138898023172E-4
Hhex: 0.0033216883581888884
Wnttun5: 0.07905694150420949
Myl: 9.403138898023172E-4
Jun: 0.0036039736420819765
Zic-r.a: 0.5
Otp: 0.005643130840844105
Smyd1: 0.005643130840844105
Mesp: 0.00217781801155857
Mnx1: 9.430602615127843E-4
Tbx6.a: 0.05784068178864716
Msx: 0.003341019463718447
Admp: 0.040424735541229787
Nkx2-1/4: -6.243993158218151E-4
Fgf8/17/18: 0.001437772080969827
Bco: 0.0027421351382018178
Snail: 0.031839061587028136
Nodal: 0.01264311638530272
Nog: -9.097661125520275E-4
Otx: 0.04331388058987187
Celf3.a: 0.0027421351382018178
Pax3/7: 2.579591232624028E-4
Tbx2/3: 0.004334113669424718
Efna.b: 0.004705280147713729
Bmp2/4: 0.0
Twist-r.a/b: 0.003474107473639111
Brachyury: -0.0010631431044496778
Twist-r.c: 0.003321688358188889
Fgl: 3.0690297877055794E-4
Zf249: -9.097661125520275E-4
Noto1: 3.0690297877055794E-4
Ctnnb: 0.0
Alp: 3.213973490694843E-5
Efna.d: 0.03959755002416996
Rlbp1: 0.0027421351382018178
CG.KH2012.C8.686: -2.0690318555108698E-4
Fgf9/16/20: -1.8014508850792434E-4
Foxa.a: -0.0021502009777340006
Foxd: 3.5874619764150154E-4
Tubb: 0.0027421351382018178
Lhx3/4: 7.426624841897698E-4
Eph.a: -2.0690318555108698E-4
Tbx6.b: 0.034460087014719906
Tfap2-r.b: 0.05945081880886049
Fzd4: -2.0690318555108698E-4
Zic-r.b: 0.029020030548054965
Hand-r: 4.996850775490144E-4
Delta.b: 0.0011190112889388636
Cdx: 0.0014212201124342988
Pem1: 0.0
Ebf3: 0.0014986849508941734
Foxb: 2.2015916880208696E-4
